categorie,texte,medicament1,medicament2,astuce
areti-maso,Mangidihidy mafy ny masoko ka tsy mahazaka ny hazavana mamirapiratra,Antihistaminique collyre : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cortisone collyre : 1x/andro (maraina) mandritra ny 3 andro,Mampias� solomaso masoandro rehefa mivoaka ary aza mijery hazavana mamirapiratra mivantana
areti-maso,Maizina ny masoko ary tsy mahita mazava tsara rehefa manombokaka ny hariva na ao anaty maizina,Vitamine A : 1x/andro (maraina) mandritra ny 1 volana,Larmes artificielles matavy : 3x/andro (maraina-midi-hariva),Mihin� sakafo manankarena vitamina A toy ny karaoty na ovy mamy ary tongolo,
areti-maso,Misy toerana manjelanjelatra eo anoloan'ny masoko toy ny jiro mipipy tsy mitsahatra,Fanaraha-maso dokotera haingana,Indray misy fitsaboana manokana,Mandeha any amin'ny dokotera haingana satria mety ho olana amin'ny voambolan'ny maso izany
areti-maso,Mivonto ny hodimaso ambany sy ambony ka tsy afaka manokatra tsara ny maso,Antihistaminique oral : 1x/andro (hariva),Collyre vasoconstricteur : 2x/andro,Aza mikasika ny maso ary asio dite mangatsiaka eo amin'ny hodimaso
areti-maso,Misy tavy mivoaka mavo eo amin'ny zoron'ny maso rehefa maraina,Collyre antibiotique : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Fanadiovana maso : 2x/andro,Diova ny masonao amin'ny rano madio sy lamba madio isan-maraina
areti-maso,Maina loatra ny masoko ka toy ny misy vovoka ao anatiny na fasika,Larmes artificielles : isaky ny 2 ora mandritra ny andro,Ciclosporine collyre : 2x/andro,Mampias� humidificateur ao amin'ny efitra natoriana ary aza mipetraka eo amin'ny rivotra avy amin'ny ventilateur
areti-maso,Misy fery kely eo amin'ny hodimaso ka marary rehefa manopy maso,Collyre antibiotique : 4x/andro mandritra ny 5 andro,Cr�me antibiotique : 2x/andro (maraina-hariva),Aza mampiasa makiazy mandritra ny fitsaboana ary diova tsara ny tanana
areti-maso,Mangidihidy ny mason'ny zaza kely ka mitomany tsy mitsahatra,Collyre antihistaminique : 2x/andro mandritra ny 3 andro,Larmes artificielles : 3x/andro,Diova ny lambam-pandriana matetika ary fadio ny vovoka ao an-trano
areti-nify,Marary mafy ny nify iray indrindra rehefa misakafo mafana na mangatsiaka,Amoxicilline 1g : 2x/andro (maraina-hariva) mandritra ny 6 andro,Parac�tamol : 3x/andro (maraina-midi-hariva),Miborosy nify indroa isan'andro ary mampias� tsipika nify (fil dentaire)
areti-nify,Mivonto ny takolako satria ny nify lo ka miparitaka ny otrikaretina,M�tronidazole 500 mg : 3x/andro (maraina-midi-hariva) mandritra ny 7 andro,Ibuprof�ne 600 mg : 2x/andro (maraina-hariva),Mandehana any amin'ny dokotera nify farafahakeliny indray mandeha isan-taona
areti-nify,Nisy nify very ka misy lavaka ao amin'ny silaoda ka tsy afaka mihinana amin'izany lafiny izany,Clindamycine : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Parac�tamol : raha ilaina,Mihinan-kanina malefaka ary mihinana amin'ny lafiny tsy marary
areti-nify,Misy fofona maimbo avy ao am-bava na dia vita nisasa nify aza,M�tronidazole : 2x/andro (maraina-hariva) mandritra ny 5 andro,Fanasa-bava antiseptika : 2x/andro,Miborosy ny lela sy ny silaoda ary mampias� fanasa-bava tsy misy alikaola
areti-nify,Misy nify mihetsiketsika ka marary rehefa mikitika azy,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 5 andro,Ibuprof�ne : raha ilaina,Aza mikitika na manetsika ny nify ary mandehana any amin'ny dokotera nify haingana
areti-nify,Marary ny nify rehefa misotro rano mangatsiaka na mafana,Sodium fluoride : 2x/andro (maraina-hariva),Parac�tamol : raha ilaina,Mampias� pasta nify manokana ho an'ny nify saro-pady
areti-nify,Nify fotsy loatra ka marary rehefa mihinana voankazo masirasira,Toothpaste ho an'ny nify saro-pady : 2x/andro (maraina-hariva),Vitamine D : 1x/andro (maraina),Aza mihinana voankazo masirasira be loatra ary miborosy nify rehefa afaka 30 minitra
areti-koditra,Mangidihidy ny hoditra manomboka amin'ny tanana ka hatrany amin'ny tongotra nefa tsy misy fivontosana,C�tirizine : 1x/andro (hariva) mandritra ny 10 andro,Cortisone cr�me : 2x/andro (maraina-hariva),Mandriova matetika ary mampias� savony malefaka tsy misy fofona
areti-koditra,Misy mena mena miparitaka er? amin'ny vatana toy ny voan'empoka sy mangidihidy,Prednisolone : 1x/andro (maraina) mandritra ny 5 andro,Antihistaminique : 1x/andro (hariva),Fadio ny sakafo mety mahatonga an'izany toy ny voanjo  atody na hazan-dranomasina,
areti-koditra,Misy tavy mivoaka avy eo amin'ny hoditra ka maharary rehefa mikasika azy ary maimbo,Mupirocine cr�me : 3x/andro (maraina-midi-hariva) mandritra ny 7 andro,Amoxicilline : 2x/andro (maraina-hariva) mandritra ny 5 andro,Tazomy madio ny hoditra ary aza mikasika ny fery raha tsy vita sasana tanana
areti-koditra,Maina sy mivaky ny hoditro indrindra amin'ny ririnina ka mandriaka ny r� raha vaky loatra,Hydrocortisone cr�me : 2x/andro (maraina-hariva) mandritra ny 7 andro,Cr�me hamandoana : 3x/andro (maraina-midi-hariva),Mampias� cr�me hamandoana isan'andro aorian'ny fandroana
areti-koditra,Misy vongan-javatra mafy eo ambanin'ny hoditra tsy marary nefa mihabetsaka,Acide salicylique : 1x/andro (hariva) mandritra ny 2 volana,R�tino�de cr�me : 1x/andro (hariva),Aza mamopaka ny vongan-javatra satria mety hiteraka holatra
areti-koditra,Misy toerana fotsy miparitaka amin'ny hoditra tsy mangidihidy nefa mihalehibe,Antifongique cr�me : 2x/andro (maraina-hariva) mandritra ny 4 herinandro,Cortisone cr�me : 1x/andro (maraina),Aoka ho maina ny hoditra ary aza mampiasa akanjo mando ela
areti-koditra,Mangidihidy ny hoditra eo amin'ny kitrokely sy ny tanana indrindra amin'ny alina,Perm�thrine cr�me : indray mandeha alohan'ny hatory,C�tirizine : 1x/andro (hariva),Diova ny lambam-pandriana amin'ny rano mafana ary tazomy madio ny trano
areti-koditra,Misy mena mena miendrika peratra eo amin'ny vatana ka mangidihidy,Antifongique cr�me : 2x/andro (maraina-hariva) mandritra ny 2 herinandro,Clotrimazole cr�me : 2x/andro (maraina-hariva),Aoka ho maina ny hoditra ary aza mampiasa akanjo tery sy mando
areti-koditra,Mivonto ny hoditra rehefa manaikitra moka na bibikely hafa,Antihistaminique oral : 1x/andro (hariva),Cortisone cr�me : 2x/andro (maraina-hariva),Mampias� moka rota rehefa matory ary asio savony manohitra moka
aretin-kibo,Mibotsina ny kiboko rehefa misento ary mahatsiaro ho voky nefa vao nihinana kely,Sim�thicone : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Antispasmodique : 2x/andro (maraina-hariva),Mihin� moramora ary tsakoina tsara ny sakafo vao atelina
aretin-kibo,Marary eo amin'ny faritry ny kibo ambony ary mandevona rehefa avy nihinana indrindra sakafo matavy,Om�prazole 20 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Ranitidine : 2x/andro (maraina-hariva),Aza mihinana sakafo matavy loatra na sakafo maranitra be
aretin-kibo,Marary ny kibo toy ny misy olona manindry mafy ao anatiny ka tsy mahazo aina,M�b�v�rine : 2x/andro (maraina-hariva) mandritra ny 2 volana,Phloroglucinol : 3x/andro (maraina-midi-hariva),Mampihena ny adin-tsaina ary manao fanatanjahan-tena maivana isan'andro
aretin-kibo,Mandoa sy mikoriana miaraka izany ka mety ho voan'ny gastro aorian'ny nisakafo ivelany,ORS : isaky ny mikoriana,Metoclopramide : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Misotroa rano madio ary manasa tanana alohan'ny hihinana
aretin-kibo,Misy fery ao an-kibo ka marary rehefa mosarena na mihinana sakafo maranitra,Om�prazole : 1x/andro (maraina) mandritra ny 6 herinandro,Antiacide : raha ilaina,Mihin� sakafo kely matetika ary aza mihinana sakafo maranitra na asidra be
aretin-kibo,Mahatsiaro ho marenina sy mivonto ny kibo aorian'ny fisakafoana be rano na gasy,Sim�thicone : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Probiotika : 1x/andro (maraina),Aza misotro rano be loatra rehefa mihinana ary aza mihinana voanjo na tsaramaso be loatra
aretin-kibo,Marary ny kibo ambany indrindra rehefa mivay na mivalana,Antispasmodique : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha ilaina,Misotroa rano betsaka ary aza mifehy ny fivay rehefa mahatsapa
aretin-kibo,Misy fivontosana eo amin'ny kibo ka mafy ny vatany rehefa mikasika,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny dokotera haingana satria mety ho olana lehibe izany
aretin-kibo,Mahatsiaro ho marary ny kibo aorian'ny fisotroana ronono na vokatra vita amin'ny ronono,Lactase : alohan'ny hisakafo ronono,Probiotika : 1x/andro (maraina),Mihin� ronono tsy misy lactose na mampiasa lactase alohan'ny hisotroana ronono
aretin-kibo,Mandoa sy mivalana aorian'ny fisakafoana any amin'ny toerana tsy madio,ORS : isaky ny mikoriana,Probiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Mahandro tsara ny sakafo ary misafidy toerana madio hisakafoana
aretim-po,Mikitokitoka tsy milamina ny gadon'ny foko ka tsy mahazo aina indrindra rehefa mitohy ny asa,B�ta-bl�kanina : 1x/andro (maraina) isan'andro tsy tapaka,Amiodarone : 1x/andro (hariva) araka ny torohevitry ny dokotera,Mampihena ny kafeinina sy ny alikaola ary manao fanatanjahan-tena maivana isan'andro
aretim-po,Sempotra rehefa mandeha lavitra kely na miakatra tohatra ka mila mijanona matetika mba hiala sasatra,Inhibiteur ACE : 1x/andro (maraina) isan'andro tsy tapaka,Furos�mide : 1x/andro (maraina) raha misy rano mitazona,Miala sasatra tsara ary aza manao asa mavesatra be loatra raha tsy nahazo alalana avy amin'ny dokotera
aretim-po,Mivonto ny tongotro sy ny kitrokely ary misy rano mitazona ao amin'ny vatana manomboka amin'ny tongotra,Spironolactone : 1x/andro (maraina) isan'andro tsy tapaka,Furos�mide 40 mg : 1x/andro (maraina),Manandratra ny tongotra rehefa mipetraka ary mampihena ny sira amin'ny sakafo
aretim-po,Tsy mahatsiaro ho milamina ny tratrako fa toy ny misy mavesatra mipetraka eo amboniny ka mahasempotra,Trinitrine sublinguale : raha ilaina (amin'ny fanafihana),Aspirine : 1x/andro (hariva) isan'andro tsy tapaka,Miala sasatra avy hatrany raha mahatsapa ary mitondra fanafody manokana ho an'ny fanafihana
aretim-po,Matory tsy mahazo aina noho ny sempotra ka tsy maintsy mipetraka vao afaka miaina,Furos�mide : 1x/andro (maraina),Digoxine : 1x/andro (maraina),Matory amin'ny toerana misy ondana roa mba hahatonga ny loha ho avo kokoa
aretim-po,Marary ny tratra rehefa mihetsika fa mihatsara rehefa miala sasatra,Trinitrine : raha ilaina,Aspirine : 1x/andro (hariva),Mampias� fanafody araka ny torohevitry ny dokotera ary aza manao asa mavesatra
aretim-po,Mangorakoraka ny sofiko miaraka amin'ny sempotra sy ny fahatsapana ho very hevitra,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny toeram-pahasalamana haingana satria mety ho famantarana ny aretim-po
aretim-po,Misy fahatsapana ho toy ny misy antsantsa manindry ny tratra mandritra ny segondra vitsivitsy,Trinitrine : raha ilaina,Aspirine : 1x/andro (hariva),Aza miandry ela raha miverimberina ny soritr'aretina ka mandehana any amin'ny dokotera
aretin'aty,Maintina ny hoditro sy ny masony ka miloko mavo toy ny voasary fa tsy mampidi-doza,H�patoprotecteur : 2x/andro (maraina-hariva) mandritra ny 3 volana,Antiviral (t�nofovir) : 1x/andro (maraina) mandritra ny 6 volana farafahakeliny,Aza misotro toaka ary mihin� sakafo madio tsara otrikaina
aretin'aty,Mangidihidy ny hoditro nefa tsy misy areti-koditra na mena mena na vongan-javatra,Ursodiol : 2x/andro (maraina-hariva) mandritra ny 3 volana,Vitamine K : 1x/andro (maraina),Mihin� sakafo malefaka ary aza mihinana sakafo matavy be loatra
aretin'aty,Mihamavo ny masony ary miloko mavo ny hodiny ka tsy mitsaha-mihamainty miaraka amin'ny havizanana,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny dokotera haingana ary manao fitiliana ra
aretin'aty,Misy rano mitazona ao amin'ny kibo ka mivonto toy ny bevohoka,Spironolactone : 1x/andro (maraina),Furos�mide : 1x/andro (maraina),Mampihena ny sira ary misotroa rano araka ny torohevitry ny dokotera
aretin'aty,Mangirifirifa eo amin'ny faritry ny aty (ankavanana ambony) rehefa misakafo matavy,Fanaraha-maso dokotera,H�patoprotecteur : 2x/andro (maraina-hariva),Mihin� sakafo tsy misy tavy be ary manao fitiliana isan-taona
aretin'aty,Misy tazo kely sy reraka mandritra ny herinandro maro,Fanaraha-maso dokotera,Antiviral : raha ilaina,Miala sasatra tsara ary mihin� sakafo manankarena otrikaina
aretin'aty,Misy fery eo amin'ny hoditra tsy sitrana haingana miaraka amin'ny maintin'ny masony,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Aza mampiasa zava-mahadomelina na toaka ary manao fitsaboana araka ny torohevitry ny dokotera
aretin'aty,Very lanja nefa tsy misy antony ary mangirifirifa ny aty,Fanaraha-maso dokotera,Fanafody manokana,Mihin� sakafo betsaka proteinina ary manao fitiliana ra isam-bolana
aretin-tsinay,Mikoriana tsy miato toy ny rano mandritra ny telo andro ka ritra rano ny vatana sy malemy,ORS : isaky ny mikoriana,Lop�ramide : 2x/andro (maraina-hariva) mandritra ny 2 andro,Misotroa rano madio afangaro siramamy sy sira (ORS) isaky ny mikoriana
aretin-tsinay,Mivalana mafy miaraka amin'ny ra na moka ao anatiny ka marary kibo mafy tsy mahitsy,Consultation dokotera haingana,Antibiotika : 2x/andro (maraina-hariva) mandritra ny 7 andro,Mandehana any amin'ny toeram-pahasalamana haingana satria mety ho aretina mafy izany
aretin-tsinay,Misy fivontosana eo amin'ny vavony toy ny misy zavatra mivoaka rehefa mikoriana na mivalana,Probiotika : 2x/andro (maraina-hariva) mandritra ny 1 volana,Antispasmodique : raha ilaina,Mihin� yaourt na sakafo misy probiotika isan'andro mba hanamafy ny tsinay
aretin-tsinay,Mivalana isaky ny misakafo na avy nisakafo vao kely ka tsy mahazaka sakafo maro karazana,Lop�ramide : 1x/andro (maraina) mandritra ny 5 andro,ORS : raha ilaina,Tandremo izay sakafo mahatonga ny fivalanana ary fadio izany
aretin-tsinay,Mivalana vokatry ny fanafody antibiotika nisotro vao tsy ela,Probiotika : 2x/andro (maraina-hariva) mandritra ny 2 herinandro,ORS : raha ilaina,Misotroa probiotika mandritra ny fitsaboana antibiotika sy aorian'izay
aretin-tsinay,Mivalana sy mangirifirifa ny kibo aorian'ny fisotroana ronono na vokatra vita amin'ny ronono,Lactase : alohan'ny hisakafo ronono,ORS : raha ilaina,Mihin� ronono tsy misy lactose na mampiasa lactase alohan'ny hisotroana ronono
aretin-tsinay,Mikoriana miaraka amin'ny tazo sy ny marary vatana,Parac�tamol : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,ORS : isaky ny mikoriana,Misotroa rano betsaka ary miala sasatra
aretin-tsinay,Mivalana maharitra mihoatra ny 2 herinandro ka tsy sitrana,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana ny tsinay mba hahitana ny antony marina
aretin-tsinay,Misy fery eo amin'ny vavony aorian'ny fivalanana maharitra,Antiacide : 2x/andro (maraina-hariva) mandritra ny 5 andro,Probiotika : 1x/andro (maraina),Mihin� sakafo malefaka toy ny vary fotsy sy akoho tsy misy tavy
aretin-tratra,Mangirifirifa ny tratrako rehefa miaina lalina ka maharary mafy ary misy kohaka maina,Amoxicilline 1g : 2x/andro (maraina-hariva) mandritra ny 7 andro,Parac�tamol : raha misy tazo,Miala sasatra ary aza mifoka sigara na mifoka rivotra maloto
aretin-tratra,Mikohaka misy ranona maitso na mavo ary sempotra kely rehefa miasa mafy,Azithromycine : 1x/andro (maraina) mandritra ny 3 andro,Salbutamol inhaler : 2x/andro (maraina-hariva),Misotroa rano mafana betsaka ary mampiasa sirop kohaka raha ilaina
aretin-tratra,Mangirifirifa ny tratrako rehefa mikohaka nefa tsy misy tazo na ranona fa maina fotsiny,Dextrom�thorphane sirop : 3x/andro (maraina-midi-hariva) mandritra ny 5 andro,Bromhexine : 2x/andro (maraina-hariva),Misotroa ranon-tanana mafana misy tantely sy voasarimakirana
aretin-tratra,Misy fery ao an-tratra toy ny may asidra miakatra hatrany amin'ny tenda aorian'ny sakafo,Om�prazole : 1x/andro (maraina) mandritra ny 2 herinandro,Antiacide : raha ilaina,Aza mihinana sakafo matavy na maranitra ary aza mandry avy hatrany aorian'ny sakafo
aretin-tratra,Mikohaka misy ra kely nefa tsy marary tratra,Fanaraha-maso dokotera haingana,Fanafody manokana aorian'ny fitsapana,Mandeha any amin'ny dokotera haingana satria mety ho olana amin'ny havokavoka izany
aretin-tratra,Sempotra rehefa mandry ka tsy maintsy mipetraka vao afaka miaina,Furos�mide : 1x/andro (maraina),Salbutamol inhaler : raha ilaina,Matory amin'ny toerana misy ondana roa na telo mba hahatonga ny loha ho avo
aretin-tratra,Misy feo mitsioka rehefa miaina indrindra rehefa mihetsika,Salbutamol inhaler : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cortico�de inhaler : 1x/andro (hariva),Fadio ny vovoka sy ny zavatra mety mahatonga ny allergy
aretin-tratra,Mangirifirifa ny tratra rehefa mihomehy na mikohaka mafy,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 3 andro,Parac�tamol : raha ilaina,Miala sasatra ary aza manao hetsika tampoka
aretin-tratra,Mikohaka maina mandritra ny herinandro maro ka tsy sitrana,Fanaraha-maso dokotera,Fanafody manokana aorian'ny fitsapana,Manao fitiliana raha misy allergy na asthma
aretin-tongotra,Mangirifirifa ny lohaliko sy ny tongotro indrindra rehefa mandeha na mitsangana ela,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 5 andro,Parac�tamol : raha ilaina,Mampihena lanja raha be loatra ary manao fanatanjahan-tena maivana toy ny milomano
aretin-tongotra,Mivonto ny kitrokely ka tsy afaka mandeha tsara na manao kiraro satria mihamafy ny fivontosana,Cortisone : 1x/andro (maraina) mandritra ny 5 andro,Ibuprof�ne gel : 3x/andro (maraina-midi-hariva),Asio ranomandry eo amin'ny kitrokely mandritra ny 15 minitra isaky ny 2 ora
aretin-tongotra,Misy fery eo amin'ny tongotra fa tsy sitrana haingana na dia efa ela aza ka mety ho diabeta,Betadine : 2x/andro (maraina-hariva) mandritra ny 7 andro,Antibiotika cr�me : 3x/andro (maraina-midi-hariva),Tazomy madio ny tongotra ary jereo matetika raha misy fiovana
aretin-tongotra,Mikitroka ny tongotra indrindra amin'ny alina ka tsy mahita tory,Quinine : 1x/andro (hariva) mandritra ny 7 andro,Magn�sium : 1x/andro (hariva),Maninjitra ny tongotra alohan'ny hatory ary misotroa rano betsaka
aretin-tongotra,Mangirifirifa ny tongotra manomboka amin'ny andilany ka hatrany amin'ny lohalika,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 7 andro,Gabapentine : 1x/andro (hariva),Manao faninjiana malefaka isan'andro ary aza mipetraka ela
aretin-tongotra,Misy fivontosana mena eo amin'ny rantsan-tongotra ka marary rehefa mikasika,Antifongique cr�me : 2x/andro (maraina-hariva) mandritra ny 2 herinandro,Clotrimazole cr�me : 2x/andro (maraina-hariva),Aoka ho maina ny eo anelanelan'ny rantsan-tongotra ary mampiasa kalsioma vovoka
aretin-tongotra,Marary ny voditongotra rehefa mitsangana maraina vao mifoha,Diclof�nac : 2x/andro (maraina-hariva) mandritra ny 5 andro,Ibuprof�ne : raha ilaina,Maninjitra ny tongotra alohan'ny hitsangana ary mampiasa kiraro malefaka
aretin-tongotra,Misy fery eo amin'ny tongotra vokatry ny kiraro tery,Betadine : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cr�me antibiotique : 2x/andro,Mampiasa kiraro malalaka sy mifanaraka amin'ny tongotra
aretin-tongotra,Mangirifirifa ny tongotra aorian'ny fandehanana lavitra,Diclof�nac gel : 3x/andro (maraina-midi-hariva) mandritra ny 3 andro,Parac�tamol : raha ilaina,Miala sasatra ary manandratra ny tongotra rehefa mipetraka
aretin-tanana,Marary ny tanako indrindra rehefa manoratra na misambotra zavatra ka mangovitra,Diclof�nac gel : 3x/andro (maraina-midi-hariva) mandritra ny 7 andro,Parac�tamol : 2x/andro (maraina-hariva),Miala sasatra matetika ary aza mampiasa tanana loatra amin'ny asa mavesatra
aretin-tanana,Mangovitra tsy voafehy ny tanako ka tsy mahazaka zavatra mavesatra na kely aza ary miharatsy rehefa mitebiteby,Vitamine B12 : 1x/andro (maraina) mandritra ny 1 volana,Physioth�rapie : isan'andro,Manao fanatanjahan-tena ho an'ny tanana toy ny famoretana baolina kely
aretin-tanana,Misy fivontosana eo amin'ny hato-tanana ka marary rehefa manetsika azy,Cortisone injection : indray mandeha,Diclof�nac : 2x/andro (maraina-hariva),Aza mampiasa tanana loatra ary asio ranomandry eo amin'ny toerana mivonto
aretin-tanana,Mangirifirifa ny rantsan-tanana indrindra rehefa mangatsiaka ny andro,Nif�dipine : 1x/andro (maraina) mandritra ny 2 herinandro,Amlodipine : 1x/andro (maraina),Manafana ny tanana amin'ny rano mafana ary mampiasa fonon-tanana rehefa mangatsiaka
aretin-tanana,Misy fery kely eo amin'ny tanana tsy sitrana haingana,Betadine : 2x/andro (maraina-hariva) mandritra ny 5 andro,Cr�me antibiotique : 2x/andro,Tazomy madio ny tanana ary asio fefy mba tsy ho voadona
aretin-tanana,Mahatsiaro ho malemy ny tanana ka tsy mahazaka zavatra,Physioth�rapie : isan'andro,Vitamine D : 1x/andro (maraina),Manao fanatanjahan-tena fanamafisana ny hozatry ny tanana
aretin-tanana,Misy fahatsapana ho toy ny misy antsantsa manindry ny tanana manomboka amin'ny hato-tanana mankany amin'ny rantsan-tanana,Gabapentine : 1x/andro (hariva) mandritra ny 1 volana,Carbamaz�pine : 2x/andro (maraina-hariva),Miala sasatra ary aza mampiasa tanana amin'ny asa miverimberina
aretin-tsakafo,Mandoa rehefa avy nihinana na mbola misakafo aza ka mahatsiaro ho voky loatra sy marenina,M�toclopramide : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Om�prazole : 1x/andro (maraina),Zarao ho sakafo kely maromaro ny sakafonao fa tsy mihinana be indray mipetaka
aretin-tsakafo,Tsy mahazaka sakafo matavy ka mandoa asidra na misento ary marary kibo ambony,Domp�ridone : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Antiacide : raha ilaina,Fadio ny sakafo matavy sy nendasina ary mihinana sakafo manta betsaka
aretin-tsakafo,Mikoriana sy mandoa aorian'ny fisakafoana any ivelany indrindra amin'ny toerana tsy madio ka mety ho voan'ny sakafo lany,ORS : isaky ny mikoriana,Probiotika : 2x/andro (maraina-hariva) mandritra ny 5 andro,Mahandro tsara ny sakafo ary misafidy toerana madio hisakafoana
aretin-tsakafo,Mandoa vokatry ny adin-tsaina na tebiteby be dia be,Ondans�tron : raha ilaina,Diaz�pam : 1x/andro (hariva) raha ilaina,Mampihena ny adin-tsaina amin'ny alalan'ny fanaovana yoga na fandinihana lalina
aretin-tsakafo,Mahatsiaro ho voky nefa vao nihinana kely ary mandoa,M�toclopramide : 3x/andro (maraina-midi-hariva) alohan'ny sakafo,Om�prazole : 1x/andro (maraina),Mihin� moramora ary tsakoina tsara ny sakafo vao atelina
aretin-tsakafo,Mandoa aorian'ny fisotroana fanafody sasany,Fanaraha-maso dokotera,Antiacide : raha ilaina,Misotroa fanafody aorian'ny sakafo raha azo atao ary miresaka amin'ny dokotera
diabeta,Mangetaheta foana na dia efa nisotro rano betsaka aza ary matetika mivay indrindra amin'ny alina ka manelingelina ny torimaso,Metformine 500 mg : 2x/andro (maraina-hariva) isan'andro,Glibenclamide : 1x/andro (maraina) alohan'ny sakafo,Mampihena ny siramamy sy ny sakafo mamy ary manao fanatanjahan-tena isan'andro
diabeta,Mangidihidy ny hoditra indrindra ny tanana sy ny tongotra ka misy toerana maizina sy maina,Glibenclamide : 1x/andro (maraina),Metformine : 2x/andro (maraina-hariva),Mampias� cr�me hamandoana isan'andro ary jereo matetika ny hoditra
diabeta,Maintsy ny masoko ka tsy mahita mazava tsara na inona na inona na dia manao solomaso aza,Fanaraha-maso siramamy ao amin'ny ra,Insuline : araka ny torohevitry ny dokotera,Manao fitiliana ny maso isan-taona raha misy diabeta
