categorie,texte,medicament1,medicament2,astuce,cat_base,texte_proc
diabeta,Diabeta type 2 no misy ahy,Metformine 500 mg : 2x/andro (maraina-hariva) mandritra ny 3 volana,Aspirine 75 mg : 1x/andro (maraina),Aza mihinana sakafo avy any ambanin ny tany matetika,diabeta,diabeta type no misy ahy fiakaran ny siramamy fidinan ny siramamy
areti-maso,Mangorakoraka ny masoko ary mitebiteby mandritra ny andro manontolo,Gentamicine collyre : 3x/andro mandritra ny 5 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Aza mampiasa makiazy mandritra ny fitsaboana ary diovy foana ny tanana,areti-maso,mangorakoraka ny masoko ary mitebiteby mandritra ny andro manontolo maso masony
aretin-pivalanana,Misy diarrhée ary mitebiteby be aho mandritra ny 2 andro,Smecta : 3 sachets isan andro mandritra ny 3 andro,Charbon activé : 2 comprimés 3x/andro,Aza mihinana voankazo manta,aretin-pivalanana,misy diarrhee ary mitebiteby be aho mandritra ny andro
aretin-urinaire,Pipi mena kely no mivoaka hatramin'ny herinandro,Fosfomycine 3g : 1 sachet unique,Paracétamol 500 mg : 3x/andro raha ilaina,Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,pipi mena kely no mivoaka hatramin'ny herinandro mamany mipipi
diabeta,Misy fanaintainana eo amin ny tongotro noho ny diabeta mandritra ny andro manontolo,Metformine 850 mg : 2x/andro (maraina-hariva),Atorvastatine : 1x/andro (hariva),Mihinana sakafo manankarena fibre ary aza mihinana siramamy be,diabeta,misy fanaintainana eo amin ny tongotro noho ny diabeta mandritra ny andro manontolo marary manaintaina mangirifiry tongotra lohalika ratsan-tongotra fiakaran ny siramamy fidinan ny siramamy
aretin-tanana,Misy aretin-tanana mafy aho,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Gel anti-inflammatoire : mametraka 2x/andro,Mampiasa attelle raha ilaina ary mitsahara,aretin-tanana,misy aretin-tanana aretin tanana mafy aho tananako ankihibe ratsan-tanana
aretin-pivalanana,Mandrevo be ary misy nausée aho hatramin'ny herinandro,Smecta : 3 sachets isan andro mandritra ny 3 andro,Lopéramide : raha ilaina,Aza mihinana sakafo be menaka,aretin-pivalanana,mandrevo be ary misy nausee aho hatramin'ny herinandro mivalanana mivalan-tay
aretin-urinaire,Misy fanaintainana urinaire mafy,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,ORS : misotroa betsaka,Misotroa rano cranberry,aretin-urinaire,misy fanaintainana urinaire mafy marary manaintaina mangirifiry
aretim-po,Manaintaina ny foko ary sarotra amiko ny miaina,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Aza tezitezitra soana amin'ny zavatra tsy misy dikany,aretim-po,manaintaina ny foko ary sarotra amiko ny miaina marary mangirifiry fanaintainana fo
aretin-tratra,Sarotra amiko ny miaina,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Misotroa rano mafana foana ary matoria tsara,aretin-tratra,sarotra amiko ny miaina
fiakaran-ny-tosi-dra,Misy pression artérielle be aho mandritra ny andro manontolo,Lisinopril 10 mg : 1x/andro (maraina),Atorvastatine 10 mg : 1x/andro (hariva),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,misy pression arterielle be aho mandritra ny andro manontolo
fiakaran-ny-tosi-dra,Ambony ny tosi-drako ary mangorakoraka be ny foko hatramin'ny 9 ora,Lisinopril 10 mg : 1x/andro (maraina),Atorvastatine 10 mg : 1x/andro (hariva),Aza mihinana sakafo misy graise be ary manaova dieta,fiakaran-ny-tosi-dra,ambony ny tosi-drako tosi drako ary mangorakoraka be ny foko hatramin'ny ora fo
aretin-tongotra,Mivonto ny tongotrako,Diclofénac 50 mg : 2x/andro (maraina-hariva) mandritra ny 5 andro,Diclofénac gel : mametraka 3x/andro,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,mivonto ny tongotrako
kohaka,Kohaka nandritra ny alina indrindra no mahazo ahy,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,kohaka nandritra ny alina indrindra no mahazo ahy mikohaka
aretin-urinaire,Matetika mitebiteby be aho rehefa mivoaka pipi,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Vitamine C 500 mg : 1x/andro,Aza manao firaisana ara nofo raha tsy sitrana tsara,aretin-urinaire,matetika mitebiteby be aho rehefa mivoaka pipi mamany mipipi
areti-maso,Mena ny masoko ary mitsory ny ranomasoko hatramin ny omaly,Collyre antiseptique : 3x/andro mandritra ny 5 andro,Vitamine A : 1x/andro mandritra ny 1 volana,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,mena ny masoko ary mitsory ny ranomasoko hatramin ny omaly maso masony
aretin-doha,Voan'ny headache mafy aho androany hatramin'ny 9 ora,Ibuprofène 400 mg : 2x/andro (maraina-hariva) mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Mila miala sasatra tsara ary aza mihinana sakafo mafana be,aretin-doha,voan'ny headache mafy aho androany hatramin'ny ora
aretim-po,Misy fanafihana eo amin ny foko hatramin'ny herinandro,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Manao fitiliana ny foko matetika,aretim-po,misy fanafihana eo amin ny foko hatramin'ny herinandro fo
aretin-pivalanana,Misy gastro-entérite ary tazo hatramin'ny 9 ora,ORS (Sels de réhydratation orale) : misotroa betsaka,Smecta : 3 sachets isan andro,Aza mihinana sakafo be menaka,aretin-pivalanana,misy gastro-enterite gastro enterite ary tazo hatramin'ny ora manavy mafana mamay
aretin-tratra,Inona no atao raha marary mafy ny tratrako ary tsy mahazo aina mihitsy aho?,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Sirop toux : 3x/andro (maraina-atoandro-hariva),Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,inona no atao raha marary mafy ny tratrako ary tsy mahazo aina mihitsy aho manaintaina mangirifiry fanaintainana tratra
kohaka,Kohaka nandritra ny alina indrindra no mahazo ahy efa 6 andro lasa izay,Bromhexine sirop : 3x/andro mandritra ny 7 andro,Cetirizine 10 mg : 1x/andro (hariva),Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,kohaka nandritra ny alina indrindra no mahazo ahy efa andro lasa izay mikohaka
aretin-tanana,Manaintaina ny ratsan tanako mandritra ny 2 andro,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka eo amin ny toerana marary,Asio ranomandry rehefa mivonto ny tanana,aretin-tanana,manaintaina ny ratsan tanako mandritra ny andro marary mangirifiry fanaintainana
aretin-tongotra,Manaintaina be ny kitrokeliko hatramin'ny herinandro,Diclofénac 50 mg : 2x/andro (maraina-hariva) mandritra ny 5 andro,Myorelaxant : 1x/andro (hariva),Asio ranomandry rehefa mivonto ary sasao tsara ny tongotro,aretin-tongotra,manaintaina be ny kitrokeliko hatramin'ny herinandro marary mangirifiry fanaintainana
aretin-tanana,Inona no atao raha manaintaina ny tanako hatramin'ny alina?,Diclofénac 50 mg : 2x/andro (maraina-hariva),Gel anti-inflammatoire : mametraka 2x/andro,Aza miasa be loatra ary mitsahara matetika,aretin-tanana,inona no atao raha manaintaina ny tanako hatramin'ny alina marary mangirifiry fanaintainana
aretin-tongotra,Manaintaina ny tongotrako rehefa mandeha,Diclofénac 50 mg : 2x/andro (maraina-hariva) mandritra ny 5 andro,Gel anti-inflammatoire (Voltaren) : mametraka eo amin ny toerana marary 2x/andro,Mitsahara ary asio ranomandry raha mivonto ary ataovy madio ny tongotra,aretin-tongotra,manaintaina ny tongotrako rehefa mandeha marary mangirifiry fanaintainana
aretin-doha,Marary be ny lohako hatramin'ny 9 ora,Paracétamol 1000 mg : 2x/andro (maraina-hariva),Caféine 100mg : 1x/andro (maraina),Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,marary be ny lohako hatramin'ny ora manaintaina mangirifiry fanaintainana loha lohany
aretin-urinaire,Matetika mitebiteby be aho rehefa mivoaka pipi hatramin'ny maraina,Fosfomycine 3g : 1 sachet unique,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Misotroa rano betsaka 2-3L isan andro,aretin-urinaire,matetika mitebiteby be aho rehefa mivoaka pipi hatramin'ny maraina mamany mipipi
diabeta,Misy diabeta ary marary be ny masoko,Metformine 850 mg : 2x/andro (maraina-hariva),Acide folique : 1x/andro (maraina),Manao fitiliana ny siramamy ao amin ny ra matetika ary mila manao kajy tsara rehefa mihinana sakafo,diabeta,misy diabeta ary marary be ny masoko fiakaran ny siramamy fidinan ny siramamy manaintaina mangirifiry fanaintainana maso masony
aretin-tanana,Inona no atao raha manaintaina ny rantsan-tanako?,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka eo amin ny toerana marary,Aza miasa be loatra ary mitsahara matetika,aretin-tanana,inona no atao raha manaintaina ny rantsan-tanako rantsan tanako marary mangirifiry fanaintainana
aretim-po,Mangorakoraka mafy ny foko,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Aza tezitezitra soana amin'ny zavatra tsy misy dikany,aretim-po,mangorakoraka mafy ny foko fo
aretin-tsaina,Tsy nahita tory aho alina mandritra ny 2 andro,Zolpidem : 1x/andro (hariva) mandritra ny 10 andro,Mélatonine 5 mg : 1x/andro (hariva),Miresaka amin ny olona matoky ary mitady fanampiana,aretin-tsaina,tsy nahita tory aho alina mandritra ny andro
tazomoka,Voan ny tazoùoka mahery sy mafana ary mandoa be aho hatramin'ny 9 ora,Artésunate 200 mg : 1x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Matoria ao anatin ny mostikera,tazomoka,voan ny tazouoka mahery sy mafana ary mandoa be aho hatramin'ny ora tazo manavy mamay
aretin-urinaire,Misy fanaintainana amin ny ambany kiboko,Fosfomycine 3g : 1 sachet unique,Vitamine C 500 mg : 1x/andro,Aza mitazona pipi ela loatra,aretin-urinaire,misy fanaintainana amin ny ambany kiboko marary manaintaina mangirifiry kibo kibony
areti-maso,Tsy mahita tsara aho mandritra ny 2 andro,Tobramycine collyre : 4x/andro mandritra ny 7 andro,Antihistaminique collyre : 2x/andro,Tazomy madio ny tananao ary aza mikasika ny maso raha tsy vita sasa tsara tanana,areti-maso,tsy mahita tsara aho mandritra ny andro
kohaka,Kohaka sy ranon-orona no mahazo ahy efa 6 andro lasa izay,Dextromethorphan sirop : 2x/andro (maraina-hariva),Paracétamol 500 mg : raha ilaina,Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,kohaka sy ranon-orona ranon orona no mahazo ahy efa andro lasa izay mikohaka
fiakaran-ny-tosi-dra,Inona no atao raha hypertensionno mahavoa ahy ary reraka be koa aho efa 6 andro lasa izay?,Losartan 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Manao fitiliana ny tosi-dra isan andro ary mihinana sakafo tsara,fiakaran-ny-tosi-dra,inona no atao raha hypertensionno mahavoa ahy ary reraka be koa aho efa andro lasa izay
aretin-tenda,Manaintaina ny tendako ary misy tazo kely ny vatako,Benzidamine spray : 3x/andro amin ny tendako,Paracétamol 500 mg : raha ilaina,Aza mihinana ranomandry ary misotroa rano mafana foana,aretin-tenda,manaintaina ny tendako ary misy tazo kely ny vatako marary mangirifiry fanaintainana tenda tendany marary tenda manavy mafana mamay
tazo,Inona no atao raha misy tazo sy aretin-doha miaraka aho efa 6 andro lasa izay?,Paracétamol 500 mg : isaky ny 8 ora mandritra ny 5 andro,ORS : misotroa betsaka rehefa mangovitra,Misotroa rano betsaka ary asio lamba mando eo amin ny handrina,tazo,inona no atao raha misy tazo sy aretin-doha aretin doha miaraka aho efa andro lasa izay manavy mafana mamay
aretin-tenda,Manaintaina ny tendako ary mikohaka aho hatramin'ny alina,Amoxicilline 500 mg : 3x/andro mandritra ny 7 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano mafana ary matoria amin ny toerana mafana,aretin-tenda,manaintaina ny tendako ary mikohaka aho hatramin'ny alina marary mangirifiry fanaintainana tenda tendany marary tenda kohaka
tazomoka,Inona no atao raha misy tazomoka ary malaina mihinana be aho hatramin'ny herinandro?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 1000 mg : isaky ny 6 ora raha tazo avo,Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,inona no atao raha misy tazomoka ary malaina mihinana be aho hatramin'ny herinandro tazo avy amin ny kaikitry ny moka
aretin-tanana,Misy fanaintainana eo amin ny sandry efa 6 andro lasa izay,Naproxène 500 mg : 2x/andro mandritra ny 5 andro,Gel anti-inflammatoire : mametraka 2x/andro,Mampiasa attelle raha ilaina ary mitsahara,aretin-tanana,misy fanaintainana eo amin ny sandry efa andro lasa izay marary manaintaina mangirifiry
aretin-tongotra,Manaintaina ny tongotrako,Kétoprofène 100 mg : 2x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka 2x/andro,Mampiasa gel anti-inflammatoire ary mitsahara tsara,aretin-tongotra,manaintaina ny tongotrako marary mangirifiry fanaintainana
aretin-doha,Marary ny lohako ary tsy mahazo aina mihitsy aho hatramin'ny herinandro,Paracétamol 500 mg : 3x/andro (maraina-atoandro-hariva) mandritra ny 3 andro,Aspirine 500 mg : raha ilaina,Matory amin ny efitra maizina sy mangina ary asio ranomandry eo amin ny handrina,aretin-doha,marary ny lohako ary tsy mahazo aina mihitsy aho hatramin'ny herinandro manaintaina mangirifiry fanaintainana loha lohany
kohaka,Nikohaka foana aho nandritra ny herinandro izay,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Paracétamol 500 mg : raha ilaina,Misotroa rano mafana sy tantely matetika isan andro,kohaka,nikohaka foana aho nandritra ny herinandro izay
aretin-tsaina,Misy burn-out aho hatramin'ny alina,Zolpidem : 1x/andro (hariva) mandritra ny 10 andro,Anxiolytique : raha ilaina,Manaova fanatanjahan-tena maivana isan andro ary matoria tsara,aretin-tsaina,misy burn-out burn out aho hatramin'ny alina
fiakaran-ny-tosi-dra,Tosi-dra 180/110 no ambony loatra hatramin ny omaly,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Furosémide 40 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,tosi-dra tosi dra 180 110 no ambony loatra hatramin ny omaly tsindry hypertension
aretin-tsaina,Kivy be aho ary tsy te hiresaka mihitsy,Alprazolam : 1x/andro (hariva) mandritra ny 15 andro,Anxiolytique : raha ilaina,Ahenao ny fampiasana solosaina sy finday amin ny alina,aretin-tsaina,kivy be aho ary tsy te hiresaka mihitsy saiko saina
aretin-pivalanana,Mivalana be aho,ORS (Sels de réhydratation orale) : misotroa betsaka,Smecta : 3 sachets isan andro,Aza mihinana sakafo be menaka,aretin-pivalanana,mivalana be aho
aretin-tratra,Misy aretin-tratra ary kohaka tsy mitsahatra aho hatramin'ny maraina,Amoxicilline-Acide Clavulanique 875 mg : 2x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,misy aretin-tratra aretin tratra ary kohaka tsy mitsahatra aho hatramin'ny maraina tratrako mikohaka
aretin-tratra,Misy pneumonie aho efa 6 andro lasa izay,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,misy pneumonie aho efa andro lasa izay
areti-maso,Misy areti-maso aho,Chloramphénicol collyre : 4x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Sasao ny maso amin ny rano madio ary aza mikasika zavatra maloto be loatra,areti-maso,misy areti-maso areti maso aho masoko masony
aretin-kibo,Misy marary ao amin ny kiboko hatramin'ny maraina,Oméprazole 20 mg : 1x/andro (maraina) mandritra ny 6 herinandro,Phloroglucinol : 3x/andro (maraina-atoandro-hariva),Mampihena ny adin-tsaina ary manaova fanatanjahan-tena maivana,aretin-kibo,misy marary ao amin ny kiboko hatramin'ny maraina manaintaina mangirifiry fanaintainana kibo kibony
aretim-po,Mitebiteby be ny foko,Bisoprolol 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Aza tezitezitra soana amin'ny zavatra tsy misy dikany,aretim-po,mitebiteby be ny foko fo
tazo,Tsy afaka mitsangana aho noho ny tazo hatramin'ny alina,Aspirine 500 mg : 2x/andro (maraina-hariva),Paracétamol 500 mg : raha ilaina,Miala sasatra tsara ary misotroa rano mafana,tazo,tsy afaka mitsangana aho noho ny tazo hatramin'ny alina manavy mafana mamay
aretin-tratra,Misy fanaintainana be ny tratrako ary very hery,Azithromycine 500 mg : 1x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Matoria tsara ary aza mivoaka amin ny rivotra mangatsiaka,aretin-tratra,misy fanaintainana be ny tratrako ary very hery marary manaintaina mangirifiry tratra
aretin-tanana,Manaintaina ny ratsan tanako hatramin'ny alina mba hanampy,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Vitamines B : 1x/andro (maraina),Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tanana,manaintaina ny ratsan tanako hatramin'ny alina mba hanampy marary mangirifiry fanaintainana
aretin-tongotra,Tongotra mivonto ary manaintaina be no mahazo ahy hatramin'ny herinandro,Ibuprofène 400 mg : 3x/andro mandritra ny 5 andro,Ibuprofène gel : mametraka 2x/andro,Mitsahara tsara ary mampiasa gel fanasitranan-drano,aretin-tongotra,tongotra mivonto ary manaintaina be no mahazo ahy hatramin'ny herinandro tongotro lohalika ratsan-tongotra marary mangirifiry fanaintainana
aretin-urinaire,Misy infection urinaire aho misy fanafody ve?,Nitrofurantoïne 100 mg : 2x/andro mandritra ny 7 andro,Ibuprofène 400 mg : 2x/andro raha misy fanaintainana,Aza mitazona pipi ela loatra,aretin-urinaire,misy infection urinaire aho misy fanafody ve
tazo,Inona no atao raha misy tazo ary reraka be aho hatramin'ny alina?,Paracétamol 1000 mg : isaky ny 6 ora raha 38.5 degre mihoatra,Vitamine C 1000 mg : 1x/andro (maraina),Matoria tsara ary miala manaova mafana tsara,tazo,inona no atao raha misy tazo ary reraka be aho hatramin'ny alina manavy mafana mamay
aretin-kibo,Misy fanaintainana kiboko sy mandrevo mandritra ny andro manontolo inona ny tokony hatao?,Pantoprazole 40 mg : 1x/andro (maraina) mandritra ny 4 herinandro,Dompéridone : 3x/andro alohan ny sakafo,Aza mihinana sakafo misy asidra be ary misotroa rano mafana,aretin-kibo,misy fanaintainana kiboko sy mandrevo mandritra ny andro manontolo inona ny tokony hatao marary manaintaina mangirifiry kibo kibony mivalanana mivalan-tay
tazomoka,Voan ny tazo sy mivalana aho mandritra ny 2 andro,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Ibuprofène 400 mg : 2x/andro (maraina-hariva),Aza mivoaka amin ny alina ary mampiasa spray anti-moustique,tazomoka,voan ny tazo sy mivalana aho mandritra ny andro manavy mafana mamay
aretin-kibo,Manotika be ny kiboko rehefa mihinana aho,Ranitidine 150 mg : 2x/andro (maraina-hariva),Antiacide : raha ilaina rehefa manaintaina,Mihinana sakafo malefaka sy mora an-tsaina ary misotroa rano betsaka,aretin-kibo,manotika be ny kiboko rehefa mihinana aho kibo kibony
kohaka,Mikohaka mafy ary very hery aho efa 6 andro lasa izay,Dextromethorphan sirop : 2x/andro (maraina-hariva),Ibuprofène 400 mg : 2x/andro (maraina-hariva),Misotroa rano mafana sy tantely matetika isan andro,kohaka,mikohaka mafy ary very hery aho efa andro lasa izay kohaka
fiakaran-ny-tosi-dra,Misy hypertension ary marary be ny lohako mandritra ny andro manontolo,Ramipril 5 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro (maraina),Aza mihinana sakafo misy sira be,fiakaran-ny-tosi-dra,misy hypertension ary marary be ny lohako mandritra ny andro manontolo tsindry tosi-dra manaintaina mangirifiry fanaintainana loha lohany
aretim-po,Foko mangorakoraka ary tsy mahazo aina be loatra aho hatramin ny omaly,Aspirin 75 mg : 1x/andro (maraina) tsy tapaka,Spironolactone 25 mg : 1x/andro,Mandehana any amin ny dokotera haingana ary mitsahara tsara,aretim-po,foko mangorakoraka ary tsy mahazo aina be loatra aho hatramin ny omaly fo
kohaka,Mikohaka aho hatramin ny 5 andro lasa izay hatramin'ny herinandro,Dextromethorphan sirop : 2x/andro (maraina-hariva),Cetirizine 10 mg : 1x/andro (hariva),Matoria amin ny toerana mafana ary misotroa rano betsaka,kohaka,mikohaka aho hatramin ny andro lasa izay hatramin'ny herinandro kohaka
aretin-tratra,Misy infection pulmonaire aho hatramin'ny alina,Prednisolone 20 mg : 1x/andro (maraina) mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro,Aza mivoaka amin ny hatsiaka ary matoria amin ny toerana mafana,aretin-tratra,misy infection pulmonaire aho hatramin'ny alina
diabeta,Mitebiteby sy reraka lava aho,Glibenclamide : 1x/andro (maraina) alohan ny sakafo,Atorvastatine : 1x/andro (hariva),Aza mihinana sakafo misy siramamy be ary mihinana akondro kely,diabeta,mitebiteby sy reraka lava aho
aretin-pivalanana,Mandrevo aho hatramin ny omaly hatramin'ny 9 ora,ORS : misotroa isaky ny mandrevo,Lopéramide : raha ilaina,Mihinana vary fotsy sy akondro ary misotroa rano betsaka,aretin-pivalanana,mandrevo aho hatramin ny omaly hatramin'ny ora mivalanana mivalan-tay
fiakaran-ny-tosi-dra,Misy hypertension ary mitebiteby be aho hatramin'ny herinandro,Aténolol 50 mg : 1x/andro (maraina) tsy tapaka,Aspirine 75 mg : 1x/andro (maraina),Mampihena ny stress ary misotroa rano betsaka,fiakaran-ny-tosi-dra,misy hypertension ary mitebiteby be aho hatramin'ny herinandro tsindry tosi-dra
tazomoka,Voan ny tazomoka ary mitebiteby be aho hatramin'ny maraina misy fanafody ve?,Coartem (Artéméther-Luméfantrine) : 2x/andro mandritra ny 3 andro,Paracétamol 500 mg : 3x/andro mandritra ny 3 andro,Matoria ao anatin ny mostikera,tazomoka,voan ny tazomoka ary mitebiteby be aho hatramin'ny maraina misy fanafody ve tazo avy amin ny kaikitry ny moka
kohaka,Mikohaka ary tsy mahazo aina tsara aho hatramin ny omaly,Ambroxol sirop : 3x/andro mandritra ny 5 andro,Vitamine C 500 mg : 1x/andro (maraina),Aza mihinana ranomandry ary misotroa rano mafana foana,kohaka,mikohaka ary tsy mahazo aina tsara aho hatramin ny omaly kohaka
